Stock code,Z-SCORE,Share pledge ratio of controlling shareholders,Pledge ratio of limited sale shares,Pledge ratio of unlimited shares,Stock Volatility,P/E ratio,P/B ratio,Stock price rise and fall in the last year,Annual turnover rate,ST,ROA,ROE,changes in net assets,changes in operating income,Gross profit margin on sales,Net business cycle (days),Turnover rate of accounts receivable (Times),Inventory turnover rate (Times),Total asset turnover rate (Times),Current ratio,Cash ratio,Asset liability ratio,Asset liability ratio (excluding advance receipts),Asset liability ratio (total liabilities - contract liabilities - advance receipts)/(total assets - goodwill - contract liabilities - advance receipts),Current liabilities/total liabilities,Monetary capital/short-term debt,EBITDA/interest bearing debt,EBIT interest cover,EBITDA interest cover,Net cash flow from operations has been negative for three consecutive years,Average cash income ratio in recent three years,Cash income ratio,Ratio of accounts receivable to operating income,Ratio of prepayments to operating income,Ratio of other receivables to total assets,Ratio of construction in progress to total assets,Minority shareholders' equity/owners' equity,The proportion of goodwill in total assets exceeds,Downgrade or negative,audit opinion ,"Company nature (state owned assets 0, others 1)",High deposit and loan of 90p,Company size (LN),Whether there are four major audits,Proportion of independent directors,Equity checks and balances (2-5 large/1 large),"Two positions in one (1 for the same, 0 for the different)",Equity concentration (the first largest shareholder),Total institutional shareholding ratio,Audit fee,Tobin Q,Debt financing costs,Enterprise age,Goodwill impairment ratio,Asset quality index,SG&A Expense,Number of key audit matters,Number of research institutions concerned,Number of research reports (+1 LN),Financial cycle m2/gdp,IsDefault
X00013,6.580227054,0.318291336,0,0.220650528,43.3303604,54.87447701,7.639384767,1.243022018,1.180104208,0,0.106725,0.148207,1.335723177,0.372513,0.1635,-2.0056,10.6589,137.8673,1.5119,0.01236,0.542824469,0.489388,0.482087394,0.497415371,0.768538,1.500457863,0.759866133,13.0796,19.44759833,0,1.030492667,1.009415,0.109418837,0.020628505,0.022432201,0.048397377,0.005578796,0.030380893,0,0,1,0,7.013556078,0,0.333333333,0.228313281,1,0.593,0.850439,2423.78,4.105927573,0.015671725,10.90555556,-0.004410053,1.005577404,0.862893931,3,3.433987204,4.919980926,0.048155337,0
X00014,23.20545013,0.154525004,0,0.077907625,60.03428823,71.68511698,31.86885587,2.015266404,4.544085872,0,0.303543,0.471753,1.435214875,0.43477,0.389876,143.6357,2.7466,3.147,1.1614,0.016925,0.210878973,0.457868,0.45785246,0.458433354,0.978458,0.500161421,1.420688575,34.2508,35.38463537,0,0.815099333,0.880657,0.436077065,0.00366476,0.000595846,0.05957754,0,0.001267091,0,0,1,0,5.024882765,1,0.333333333,0.307012029,1,0.5035,0.268759,130,16.01174541,0.018859247,10.25833333,0,0.908968617,0.768672823,3,3.583518938,4.912654886,0.048155337,0
X00015,2.020820313,0.521595824,0,0,36.11315569,21.73021765,3.353646354,-0.008282921,4.76226935,0,0.08934,0.149396,1.217143733,0.548228,0.289639,-97.0692,3.1247,11.4023,0.3555,0.008871,0.358787489,0.564368,0.56006324,0.570397467,0.663534,1.562013076,0.293535989,10.5163,11.17216113,0,0.818078667,0.816883,0.332697823,0.051043838,0.023652098,0.004868454,0.090958177,0.017940305,0,0,0,0,6.123302546,1,0.375,1.131049983,0,0.2285,0.215171,260,1.759221647,0.014109452,7.694444444,0.048851843,1.305413823,0.902622229,2,3.401197382,4.890349128,0.017310869,0
X00016,111.3786465,0.999386666,0,0,23.22541399,46.82494361,9.005226398,0.255964573,1.073862704,0,0.209344,0.197602,1.150098406,0.247467,0.746806,592.6167,5.1205,0.6375,0.54,0.128008,1.922633409,0.045299,0.03630079,0.03630079,0.812776,9650.618415,219.0686487,71.308,83.42395285,0,0.967393,0.952041,0.213729046,0.018549083,0.002641425,0.149705142,0.0021092,0,0,0,1,0,3.861301272,1,0.333333333,0.310281732,0,0.3749,0.657559,80,8.287234898,0.065012145,23.35277778,0,1.070648929,0.979852039,2,3.526360525,4.836281907,0.017310869,0
X00017,9.495609338,0.139322476,0,0.08014225,35.47193358,14.09854343,2.520871034,-0.169615042,1.705620993,0,0.192204,0.184388,1.043410919,0.214401,0.207799,136.8136,14.8296,2.8925,1.5206,0.042204,1.174676767,0.204852,0.198047379,0.198047379,0.948015,34.10938351,2.573665332,0,0,0,1.061043667,1.084725,0.073501877,0.000975034,0.004111594,0.066447997,0.001099673,0,0,0,1,0,4.331687163,0,0.363636364,0.225919012,1,0.5557,0.761374,300,2.226060667,-0.008442957,5.677777778,0,0.720790815,0.872999383,3,3.555348061,4.812184355,0.028940562,0
X00018,5.941406242,0.137291879,0,0.054169564,38.38821239,16.12743334,3.267265333,-0.533205726,2.231685665,0,0.168294,0.20617,1.090261401,0.186555,0.375724,-9.4851,23.1977,15.4764,0.9832,0.016762,0.989329933,0.314081,0.263674614,0.264362694,0.891879,4.297817352,2.262811673,60.9677,75.03597389,0,1.150929667,1.09858,0.055611977,0.008474698,0.004072904,0.073841447,0.098170451,0.002424612,0,0,1,0,4.358242103,1,0.428571429,1.545519508,0,0.2026,0.52181,133,2.294041208,0.009535864,7.719444444,0,1.235830527,0.949575554,1,3.36729583,4.787491743,-0.059095742,0
X00019,7.599340498,0.088076574,0,0.016047996,43.18980143,53.39279696,7.591161276,0.059614203,2.744382432,0,0.098199,0.139919,1.033152784,0.223029,0.93421,-14.0304,13.6626,19.5768,0.5454,0.020836,1.663536271,0.414529,0.360163761,0.414509331,0.572135,11.05831647,0.494277936,15.3436,17.53997101,0,1.166783667,1.169151,0.100362314,0.010988032,0.002962632,0.000511963,0.027285493,0.11996837,0,0,1,0,4.026378407,1,0.333333333,1.40001875,0,0.182,0.270114,80,4.596579992,0.014906254,8.6,0.007011813,0.86025055,0.708621436,2,3.526360525,4.762173935,-0.059095742,0
X00020,4.584429588,0.263815563,0,0.099634759,49.03594095,31.9394149,6.761204448,2.148773735,7.375946248,0,0.131375,0.273864,2.083125014,0.473537,0.297161,29.8308,3.2786,3.868,0.4871,0.013763,0.536665744,0.526728,0.52497106,0.527107467,0.702836,1.786428394,0.642108991,16.7756,19.90477371,0,0.751574,0.779969,0.326607068,0.011807118,0.003112366,0.059565566,0.020574145,0.004038088,0,0,1,0,5.093415713,1,0.428571429,0.352728627,0,0.3297,0.628329,105,3.510059532,0.011104764,10.16666667,0,0.82546428,0.800405882,1,3.526360525,4.718498871,-0.064161221,0
X00021,2.768444353,0.71681254,0,0,33.37233298,37.70403692,5.905563799,0.298231284,4.435844104,0,0.082087,0.165814,1.158977812,0.206315,0.294227,255.0943,1.5725,2.2524,0.343,0.011762,0.181972435,0.63309,0.621689581,0.626526256,0.710744,0.551974658,0.34602055,5.0292,7.07168252,0,0.601058667,0.635636,0.72331031,0.075980242,0.032187046,0.027544656,0.088360645,0.007487181,0,0,0,0,4.840712134,1,0.375,0.227857564,0,0.447,0.627241,160,2.574481068,0.02669282,6.691666667,0.023650181,0.997276866,0.892530384,2,3.555348061,4.691347882,0.017310869,0
X00022,1.988925784,0.234599119,0,0.046598288,56.83135039,10.41061898,2.980953575,-0.18162833,1.630006599,0,0.123066,0.298283,1.218531873,0.299245,0.153822,33.2463,98.8013,6.2925,0.9866,0.006666,0.171825806,0.727524,0.719347557,0.719620091,0.639077,0.262006651,0.297187567,5.0743,7.344120869,0,1.073832667,1.072645,0.013352977,0.013319752,0.004049895,0.037009003,0.001210042,0.000367687,0,0,1,0,7.651102228,1,0.428571429,2.482136995,1,0.2129,0.699619,379,1.496382674,0.032133006,20.36388889,0.00164432,1.191000152,0.925752828,1,3.295836866,4.672828834,-0.06737798,0
X00023,2.015106102,0.721460821,0,0,41.73546433,41.43095508,5.653614266,0.052254272,13.02434921,0,0.062695,0.135968,1.269959645,0.771533,0.288842,-4.3051,1.8933,12.0266,0.4723,0.009293,0.24795233,0.669972,0.66297524,0.669629084,0.702594,0.703643358,0.185057458,7.7215,8.876071728,1,0.598901667,0.501607,0.65000993,0.036540209,0.020184197,0.308189762,0.10305068,0.009730319,0,0,0,0,3.669026718,1,0.428571429,0.591046543,0,0.2126,0.262836,75,2.219964425,0.010753033,2.872222222,0.037442637,1.271424906,0.918437027,2,3.258096538,4.672828834,0.017310869,0
X00024,1.874357152,0.333161514,0,0.115541348,45.94929944,19.27233205,3.221350613,0.558315522,3.736392811,0,0.081388,0.145234,1.473627521,-0.000568,0.287024,-65.6659,29.3772,7.1892,0.4286,0.012059,0.793594451,0.57818,0.575612893,0.576409007,0.490679,2.427557292,0.224067978,14.7892,19.93983856,0,0.874911667,0.836185,0.037854827,0.012001137,0.000904911,0.37408301,0.000834042,0.001372805,0,0,1,0,5.778908114,1,0.428571429,0.728394276,1,0.3468,0.634141,95,1.567988739,0.010084243,9.008333333,0,1.105267533,0.944686824,2,3.465735903,4.663439094,0.048155337,0
X00025,3.088590933,0.036480845,0,0.008456969,71.42255211,37.92788946,5.693152663,0.037057122,8.801052062,0,0.068725,0.156192,1.161157321,0.189775,0.254402,328.3517,3.7752,0.8067,0.3763,0.014778,0.459680481,0.623567,0.459355287,0.459355287,0.995514,12.6573687,3.622675824,0,0,0,0.740115667,0.783932,0.309330043,0.050157407,0.002453909,0.010499832,0.000110939,0,0,0,1,0,5.254147094,1,0.428571429,2.678382122,1,0.0842,0.358999,125,2.698502708,-0.0181175,4.391666667,0,0.911131976,1.138267765,2,3.401197382,4.65396035,0.028940562,0
X00026,2.772953253,0.141667498,0,0,32.2714362,30.19287896,5.633296057,-0.09687463,5.450067712,0,0.075619,0.137761,2.084620979,0.016849,0.39135,92.9739,1.6229,2.7457,0.3543,0.017994,0.771859883,0.517157,0.515670247,0.51811508,0.703157,3.793925729,0.449297413,26.8819,33.66808263,0,1.008026,1.052398,0.734078254,0.021764933,0.003220162,0.015277797,0.002993634,0.004704222,0,0,1,0,5.141482226,1,0.333333333,0.807908963,1,0.2484,0.223301,160,1.997065538,0.005445244,11.20277778,0,0.888696158,1.004641563,3,3.526360525,4.634728988,0.017310869,0
X00027,4.772635382,0,0,5.06173E-05,25.45497889,19.14744292,2.68123359,-0.176724434,1.106150136,0,0.125058,0.145993,1.125998738,0.120977,0.381701,112.5613,5.184,3.587,0.489,0.013623,0.443364406,0.326054,0.325905197,0.329816117,0.732827,0.695011735,0.764985574,16.5295,23.76575602,0,1.050799,1.073301,0.191450029,0.011403787,0.001946052,0.11965425,0,0.011855261,0,0,1,0,3.326815511,1,0.428571429,0.242103307,1,0.458,0.628076,50,2.104595002,0.015862464,7.347222222,-0.015711532,1.477541975,0.510836092,2,3.496507561,4.634728988,-0.059095742,0
X00028,5.749351935,0.060779282,0,0.022578526,39.98443304,17.63824898,2.709390147,0.192913053,1.334345814,0,0.138804,0.15909,1.179339141,0.18568,0.112997,-23.2366,41.3351,612.5713,1.4573,0.012545,0.985279947,0.307295,0.26832346,0.270788243,0.934073,2.062371736,1.867099076,109.3372,154.4475932,0,1.025294333,1.046553,0.017995713,0.004768051,0.005848015,0.03571329,0.019160827,0.008617439,0,0,1,0,5.972723012,1,0.333333333,1.024845137,0,0.3031,0.730305,330,2.068397768,0.001179445,22.56388889,-0.000554387,0.969325394,0.91920773,2,3.295836866,4.634728988,0.028940562,0
X00029,6.412329922,0.363024078,0,0.058970463,35.96179418,45.30737714,7.421758388,0.593125197,6.731970521,0,0.101733,0.166632,1.195039298,0.282954,0.209662,51.3976,5.1475,3.6643,0.8976,0.014328,0.368010737,0.447413,0.445256681,0.482223639,0.959434,1.229343279,1.120273327,56.125,68.25225375,0,0.906625,0.889056,0.219355761,0.005664063,0.001758347,0.006479467,0.085557073,0.076361441,0,0,1,0,4.268656326,1,0.333333333,0.770230598,1,0.1624,0.392773,76,3.957566511,0.006923802,11.63888889,0,0.987478353,0.866704907,2,3.36729583,4.615120517,-0.06737798,0
X00030,2.445854327,0.046100397,0,0.018322924,33.12115537,12.26449184,2.603059558,-0.280924364,1.087370281,0,0.07637,0.220711,1.126821557,0.007867,0.242438,1.2487,13.0088,5.6658,0.8487,0.012654,0.283775312,0.640464,0.614988244,0.662952321,0.762445,4.453636335,0.549606312,0,0,0,0.892076,0.921726,0.081681406,0.012698425,0.005232871,0.009096507,0.059164962,0.067561939,0,0,1,0,8.348905341,0,0.375,0.846454306,1,0.31,0.638441,897.5,1.498242383,-0.012516989,9.286111111,0.004998336,1.069316752,1.02751274,2,3.555348061,4.59511985,0.028940562,0
X00031,1.620119008,0.588168239,0,0.315742177,40.26454687,191.4551903,2.507308386,0.064943805,3.77012021,0,0.015698,0.01319,1.003886543,0.131084,0.389539,196.2621,1.8058,2.4635,0.4988,0.010987,0.16005282,0.627564,0.617128974,0.627324477,0.761003,0.324088841,0.129619239,1.0489,3.235259467,0,0.897943667,0.97132,0.612432621,0.017551021,0.005749106,0.050720561,4.0483E-05,0.015809413,0,0,1,0,5.104864119,1,0.333333333,0.184845759,1,0.5158,0.265543,280,1.566203585,0.023560484,8.594444444,0,0.983060882,1.0158517,3,3.044522438,4.543294782,-0.064161221,0
X00032,3.501215662,0.166673547,0,0,17.2783558,27.92746345,4.522069272,-0.133894614,0.971818373,0,0.105803,0.165665,1.093557255,0.154075,0.362904,135.6174,2.7691,4.8328,0.8326,0.013271,0.132179785,0.583199,0.582430377,0.586195992,0.903049,0.20385576,0.293825953,6.6271,7.850919546,0,1.058350333,0.9847,0.419264506,0.023056694,0.010921004,0.023714797,0.035651871,0.006411992,0,0,1,0,5.372117259,1,0.333333333,0.244073519,0,0.4518,0.657587,150,2.36861778,0.025324599,15.35555556,0,0.981187255,0.951358187,2,3.295836866,4.532599493,0.017310869,0
X00033,49.78555107,0.022515811,0,0,65.72042957,44.1047889,6.205271772,0.516325224,10.00754237,0,0.181083,0.181319,1.860467405,0.329073,0.662755,100.1211,47.5554,2.8376,0.5958,0.093643,4.312032278,0.071666,0.062432682,0.062432682,0.952331,9650.618415,0,0,0,0,1.130309333,1.128837,0.022873198,0.014652921,0.007906689,0.0407936,-0.001791157,0,0,0,1,0,3.892923706,1,0.428571429,0.14992716,0,0.4881,0.243192,120,5.785443841,-0.145778982,5.044444444,0,1.946867019,1.091037826,0,3.044522438,4.532599493,0.077211433,0
X00034,3.847271455,0.560198021,0,0.174388794,35.42936189,18.9464517,4.452635938,0.994166412,3.901961338,0,0.13908,0.234224,1.231361826,0.292519,0.357452,76.9351,3.5783,5.5697,0.8631,0.015316,0.443337953,0.555674,0.523492112,0.525323846,0.809712,1.431919271,0.647775314,8.7743,9.880080188,0,1.042967667,1.082488,0.310452203,0.02979736,0.012976013,0.027950272,0.02207517,0.003251377,0,0,1,0,5.412344923,1,0.333333333,0.643521696,0,0.283,0.43446,268,2.301877882,0.03318844,11.30833333,0.002640051,0.86099701,0.919019385,2,3.33220451,4.510859507,-0.064161221,0
X00035,12.78490815,0.464437168,0.046104227,0.150276729,53.43884361,74.09243027,19.88112542,0.604402843,7.801132896,0,0.162645,0.282401,1.448712093,0.454258,0.299121,126.3079,7.8264,2.8826,0.9881,0.020326,0.798946152,0.491123,0.488637948,0.557942739,0.615394,1.683262597,0.645387248,12.0019,14.81664936,0,1.036126333,1.046816,0.127421546,0.00764005,0.001990461,0.005467055,0.024850868,0.123611323,0,0,1,0,5.422656302,1,0.333333333,0.687903881,0,0.3221,0.374031,260,9.344102392,0.024764855,3.658333333,0.069169955,1.057673762,0.696853514,3,3.36729583,4.477336814,0.048155337,0
X00036,0.719502008,0.240910015,0,0.157063729,51.65321352,5.22584547,1.258978132,-0.083099115,1.171725405,0,0.035852,0.229263,1.182442073,0.156428,0.204453,561.2548,420.3341,0.5138,0.3139,0.010696,0.152123464,0.81822,0.71436425,0.71436425,0.832532,1.846720046,0.20426082,21.3632,21.78956284,0,1.320295333,0.970385,0.002683312,0.028651797,0.097592969,0.002555265,0.389337607,0,0,0,1,0,8.583529684,0,0.428571429,0.173930975,0,0.6097,0.77343,458,0.941439765,0.002494267,6.075,0,1.218933263,0.915251048,3,2.995732274,4.477336814,-0.06737798,0
X00037,26.15085139,0.261566097,0,0.095666867,52.9836229,73.1599362,14.83495382,0.639095462,3.279932648,0,0.149683,0.183709,1.678345061,0.203576,0.925733,136.1435,34.43,0.8596,0.3995,0.042179,3.072229277,0.207541,0.207124159,0.224921704,0.403652,9650.618415,1.6023266,20.569,25.14396477,0,1.058246667,1.00822,0.028131357,0.007984092,0.001302017,0.0120696,0.00082377,0.079086151,0,0,1,0,3.956907956,1,0.333333333,1.470410771,1,0.1938,0.660559,98,8.690375329,0.03925215,4.15,-0.005617414,0.791761577,0.959443612,2,2.890371758,4.477336814,0.048155337,0
X00038,39.64084345,0.060314854,0.001487316,0.050820911,38.79201835,179.0576228,32.49047637,1.502700172,1.812540983,0,0.174942,0.209608,1.516813762,0.192421,0.510273,-12.5086,9.1766,13.4301,0.8684,0.016932,1.008645903,0.314558,0.307361707,0.411006305,0.682079,4.374022098,1.373374298,65.6971,80.76401506,0,0.975225,0.98541,0.11889989,0.011694904,0.011952519,0.04261852,0.074942042,0.24955282,0,0,1,0,5.046040466,1,0.428571429,0.822124763,0,0.3548,0.715685,220,20.17612468,0.01848294,11.16666667,0.176599034,0.977907356,0.887928158,1,3.401197382,4.454347296,0.048155337,0
X00039,3.605613949,0.048678259,0,0.018573558,46.92456729,41.783694,4.526313308,0.886635816,10.04721661,0,0.04292,0.098164,1.107251641,0.100392,0.11974,32.299,6.8815,5.4179,1.878,0.014646,0.364313277,0.649489,0.633045476,0.633059967,0.963499,3.926739417,0.723789823,7.8903,9.82054179,0,1.095092667,1.11411,0.19454788,0.001159932,0.002948116,0.003621815,0.035030705,2.18645E-05,0,0,0,0,5.683888734,1,0.333333333,0.14221117,0,0.368,0.568612,85,1.96902956,0.006216808,19.56388889,0,0.899130246,1.116658049,3,3.36729583,4.418840608,-0.064161221,0
X00040,2.123366777,0.803339583,0,0.357152555,48.59927128,15.42979324,2.1084087,-0.23883438,1.717376042,0,0.067697,0.131824,1.40477368,0.287876,0.039113,-1.0468,65.3045,34.8755,1.8289,0.006944,0.383967639,0.626552,0.623372084,0.625720236,0.636987,0.612095487,0.147964492,5.993,7.492931302,0,1.086949667,1.082099,0.01621558,0.009938152,0.002385229,0.292140079,0.200516552,0.003721036,0,0,1,0,6.390654639,1,0.333333333,0.374070663,0,0.444,0.72756,285,1.134295734,0.019961998,21.75833333,0.013997159,1.206036664,1.096715635,3,3.218875825,4.418840608,-0.059095742,0
X00041,15.64988447,0.610988548,0,0.417903736,41.41829483,20.78275896,6.132620729,0.153489419,1.013849144,0,0.260879,0.285958,1.139143908,0.170788,0.467723,70.007,18.5461,4.0952,1.0371,0.030661,1.086440259,0.207377,0.13097198,0.13097198,0.971556,9650.618415,0,0,0,0,1.180539333,1.140956,0.061311746,0.016823203,0.004523269,0.054367013,0.003557775,0,0,0,1,0,3.831696896,1,0.333333333,0.791561142,1,0.3835,0.776019,103,4.613997566,-0.016026456,8.786111111,0,1.443888345,0.81047572,2,3.218875825,4.418840608,-0.059095742,0
